,PC_1,PC_2,PC_3,class,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
PLUS1,-0.36135860258089525,-1.8066353800892425,-0.2804760058812325,0,PlusOneCoin,HMQ1725,PoW,8645406.16776286,21000000
TRVC,-0.22379766485705638,0.6520610652352897,0.7064887199950773,1,Trivechain,X16R,PoW/PoS,36923120.6205934,82546564
DTEM,-0.25859945538027784,1.8496380181799148,-0.967999477721736,1,Dystem,Quark,PoS,7082392.24744494,21000000
GIC,-0.2129396689814952,1.3613038243927493,0.623281389747039,1,Giant,Quark,PoW/PoS,5919489.76813523,5151000
ABS,-0.2227310003256624,0.6519148180637904,0.7064557899088751,1,Absolute Coin,Lyra2REv2,PoW/PoS,13332617.9413708,52500000
VITAE,-0.25757495101610933,1.8495604752462365,-0.9680123376347181,1,Vitae,Quark,PoS,66053877.6256106,100000000
WEBC,-0.34977136893725935,-1.836219045490983,-0.2865337306026749,0,Webchain,CryptoNight-V7,PoW,15580199.3087496,1750000000
RYO,-0.36068056871452175,-1.8066972549328273,-0.28047978000690094,0,Ryo,Cryptonight-GPU,PoW,4890897.0,88188888
URALS,-0.2615367843878093,-0.7290143561812646,0.08689061211284084,0,Urals Coin,XEVAN,PoW,14746153.0962884,210000000
QWC,2.228443201597289,-2.0317624335727262,-0.31722036078798066,0,Qwertycoin,CryptoNight Heavy,PoW,99553110528.8022,184470000000
KETAN,-0.26552720244897193,2.1737547009039724,-1.7496891570653328,1,Ketan,PoS,PoS,9327131.59708692,210000000
XDNA,-0.20249363754478675,0.5617939338466883,1.1003420013924174,1,XDNA,Keccak,PoW/PoS,4672513.84432375,366000000
KCASH,-0.20333984953744969,1.673503623093415,-1.302218791715961,1,Kcash,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000
XCG,-0.3411263846721016,-1.088276338018077,-0.21931521136013404,0,Xchange,X16R,PoW,9753753.61515394,100000000
AAC,-0.1915483329344682,1.0890093775742875,5.8098512977966745,1,Acute Angle Cloud,ECC 256K1,DPOS,1000000000.0,1000000000
CRYP,-0.26616443519887484,-1.6890511301280229,-0.35382487400612017,0,CrypticCoin,Equihash,PoW,4235111504.0,7600000000
BTXC,-0.19130423578217876,1.4997669857342504,-0.5785742628893172,1,Bettex coin,XEVAN,PoS,6787405.18013774,50000000
ACM,-0.3632024197636232,-1.8277477680564138,-0.2848992816956052,0,Actinium,Lyra2Z,PoW,13634850.0,84000000
BITM,0.604102938425441,0.7820001494021429,0.5836303042484957,1,BitMoney,XEVAN,Pos,208515864.36734298,70000000000
HERB,-0.2123594857084967,1.361259822676116,0.6232746221946477,1,HerbCoin,Quark,PoW/PoS,35312185.7437239,54000000
UMO,-0.35448022414105745,-1.8215601184111863,-0.2834806281587413,0,Universal Molecule,Blake,PoW,1578281.31341127,105120001.44
LIT,-0.35495915665555416,-1.8215229422460153,-0.2834799995355358,0,Lithium,Blake,PoW,15846721.248274697,25228800
PIRATE,-0.28154382745567275,0.5462258480990216,-1.0183070204923175,1,PirateCash,Equihash,PoS,13475920.0,105000000
